node_id,node_type,label,description,approved_name,target_id,biotype,association_score,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,text_coverage_status,literature_mentions,trial_mentions,symbol_ambiguity_flag,mention_match_quality,paper_id,year,citation_count,topic_id,topic_label,nct_id,overall_status,phases,top_terms,n_papers,source,n_trials
target_CDK1,Target,CDK1,,cyclin dependent kinase 1,ENSG00000170312,protein_coding,0.5248755708356222,0.144126,0.180158,69.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_RIOK2,Target,RIOK2,,RIO kinase 2,ENSG00000058729,protein_coding,0.5244154452261425,0.143785,0.179731,70.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_DRD2,Target,DRD2,,dopamine receptor D2,ENSG00000149295,protein_coding,0.5239248574008657,0.143421,0.179276,71.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NDUFS1,Target,NDUFS1,,NADH:ubiquinone oxidoreductase core subunit S1,ENSG00000023228,protein_coding,0.5232633839227692,0.14293,0.178662,72.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_DDX39B,Target,DDX39B,,DExD-box helicase 39B,ENSG00000198563,protein_coding,0.5222917544590315,0.142209,0.177761,73.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_ATP6V1B2,Target,ATP6V1B2,,ATPase H+ transporting V1 subunit B2,ENSG00000147416,protein_coding,0.5211752723946863,0.14138,0.176725,74.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CD2AP,Target,CD2AP,,CD2 associated protein,ENSG00000198087,protein_coding,0.5188400429995826,0.139647,0.174559,75.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_UQCRC1,Target,UQCRC1,,ubiquinol-cytochrome c reductase core protein 1,ENSG00000010256,protein_coding,0.5183860713313272,0.13931,0.174138,76.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_ADRA2C,Target,ADRA2C,,adrenoceptor alpha 2C,ENSG00000184160,protein_coding,0.5163074785207125,0.137768,0.17221,77.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_AURKA,Target,AURKA,,aurora kinase A,ENSG00000087586,protein_coding,0.5155270888510811,0.137189,0.171486,78.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
