target_id,approved_symbol,approved_name,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,symbol_ambiguity_flag,mention_match_quality,text_coverage_status
ENSG00000108219,TSPAN14,tetraspanin 14,protein_coding,0.4234031459768645,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000186318,BACE1,beta-secretase 1,protein_coding,0.4227334364529774,2,0,2,0,2,low,reliable,checked_with_mentions
ENSG00000155657,TTN,titin,protein_coding,0.4226250600916321,0,0,0,0,0,moderate,not_detected,checked_zero_mentions
ENSG00000031823,RANBP3,RAN binding protein 3,protein_coding,0.4224839949304148,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000052344,PRSS8,serine protease 8,protein_coding,0.4223067864061274,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000104643,MTMR9,myotubularin related protein 9,protein_coding,0.4220482867824836,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000065000,AP3D1,adaptor related protein complex 3 subunit delta 1,protein_coding,0.418407554927161,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000167658,EEF2,eukaryotic translation elongation factor 2,protein_coding,0.4158359834280103,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000171408,PDE7B,phosphodiesterase 7B,protein_coding,0.4157743546151053,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000112425,EPM2A,"EPM2A glucan phosphatase, laforin",protein_coding,0.4142010293825119,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000160948,VPS28,VPS28 subunit of ESCRT-I,protein_coding,0.4139845755848841,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000143398,PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,protein_coding,0.4138555974623084,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000158748,HTR6,5-hydroxytryptamine receptor 6,protein_coding,0.4135650350240977,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000127415,IDUA,alpha-L-iduronidase,protein_coding,0.412711655541583,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000127184,COX7C,cytochrome c oxidase subunit 7C,protein_coding,0.4123983991891219,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000066336,SPI1,Spi-1 proto-oncogene,protein_coding,0.41094073650748,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000179335,CLK3,CDC like kinase 3,protein_coding,0.4103618272911923,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000132170,PPARG,peroxisome proliferator activated receptor gamma,protein_coding,0.4099219073569957,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000152782,PANK1,pantothenate kinase 1,protein_coding,0.4095639754869144,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000171873,ADRA1D,adrenoceptor alpha 1D,protein_coding,0.4095547468584312,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000170214,ADRA1B,adrenoceptor alpha 1B,protein_coding,0.4085001119780113,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000008516,MMP25,matrix metallopeptidase 25,protein_coding,0.4082922528657468,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000115828,QPCT,glutaminyl-peptide cyclotransferase,protein_coding,0.4051419086426055,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000182578,CSF1R,colony stimulating factor 1 receptor,protein_coding,0.4049383278664958,3,1,1,1,2,low,reliable,checked_with_mentions
ENSG00000120162,MOB3B,MOB kinase activator 3B,protein_coding,0.4042811916258526,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase 2,protein_coding,0.4035408132699506,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000184588,PDE4B,phosphodiesterase 4B,protein_coding,0.4030723216307156,0,2,0,1,-2,low,reliable,checked_with_mentions
ENSG00000111837,MAK,male germ cell associated kinase,protein_coding,0.4029718928579058,0,0,0,0,0,moderate,not_detected,checked_zero_mentions
