source,target,edge_type,association_score,evidence_source,target_symbol,paper_id,nct_id,topic_id,topic_score,lit_label,trial_label
alzheimers_disease,target_UQCRB,disease_target_evidence,0.3924867453854369,Open Targets,,,,,,,
alzheimers_disease,target_SCIMP,disease_target_evidence,0.3913679294647975,Open Targets,,,,,,,
alzheimers_disease,target_CREB3L3,disease_target_evidence,0.3913314553340502,Open Targets,,,,,,,
alzheimers_disease,target_MINDY2,disease_target_evidence,0.3899681373582496,Open Targets,,,,,,,
alzheimers_disease,target_CNTNAP2,disease_target_evidence,0.3896089490907917,Open Targets,,,,,,,
alzheimers_disease,target_PECAM1,disease_target_evidence,0.3891678356965384,Open Targets,,,,,,,
alzheimers_disease,target_NCSTN,disease_target_evidence,0.3890319061743018,Open Targets,,,,,,,
alzheimers_disease,target_PDE9A,disease_target_evidence,0.3887550772748388,Open Targets,,,,,,,
alzheimers_disease,target_GLIS3,disease_target_evidence,0.3883872971125877,Open Targets,,,,,,,
alzheimers_disease,target_JUN,disease_target_evidence,0.3883635090639488,Open Targets,,,,,,,
alzheimers_disease,target_LMNA,disease_target_evidence,0.3880992162143042,Open Targets,,,,,,,
alzheimers_disease,target_ZNF629,disease_target_evidence,0.3875599337289517,Open Targets,,,,,,,
alzheimers_disease,target_COG8,disease_target_evidence,0.3873044681666114,Open Targets,,,,,,,
alzheimers_disease,target_PRDX1,disease_target_evidence,0.3871005489038768,Open Targets,,,,,,,
alzheimers_disease,target_ULK1,disease_target_evidence,0.3867747660053675,Open Targets,,,,,,,
alzheimers_disease,target_CAPN2,disease_target_evidence,0.3865689541821671,Open Targets,,,,,,,
alzheimers_disease,target_FLNA,disease_target_evidence,0.3863048961858492,Open Targets,,,,,,,
alzheimers_disease,target_NOC3L,disease_target_evidence,0.3856338193083906,Open Targets,,,,,,,
alzheimers_disease,target_CTSL,disease_target_evidence,0.3845392745093205,Open Targets,,,,,,,
alzheimers_disease,target_PSENEN,disease_target_evidence,0.3842460074978423,Open Targets,,,,,,,
alzheimers_disease,target_ESR2,disease_target_evidence,0.3838728168114332,Open Targets,,,,,,,
