approved_symbol,gap_rank,evidence_strength_norm,literature_signal_norm,trial_signal_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag
ESR2,287,0.09871763321703342,0.0,0.0,0.0,0.039487,0.049359,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ZNF652,288,0.09764525778129451,0.0,0.0,0.0,0.039058,0.048823,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PFKP,289,0.0973624496314045,0.0,0.0,0.0,0.038945,0.048681,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PTPRA,290,0.09695186414578039,0.0,0.0,0.0,0.038781,0.048476,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ZKSCAN1,291,0.0967184225356712,0.0,0.0,0.0,0.038687,0.048359,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
FOSL1,292,0.09586008793861889,0.0,0.0,0.0,0.038344,0.04793,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
GOT1,293,0.09542187027882454,0.0,0.0,0.0,0.038169,0.047711,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
BRSK2,294,0.09463555364654275,0.0,0.0,0.0,0.037854,0.047318,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MS4A6E,295,0.09431148364945818,0.0,0.0,0.0,0.037725,0.047156,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
STAT4,296,0.09378154038897402,0.0,0.0,0.0,0.037513,0.046891,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NR3C1,297,0.09378333310902853,0.0,0.0,0.0,0.037513,0.046892,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
LILRB2,298,0.09193821261912383,0.0,0.0,0.0,0.036775,0.045969,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ULK4,299,0.091700054977215,0.0,0.0,0.0,0.03668,0.04585,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
