target_id,approved_symbol,approved_name,biotype,association_score,datasource_scores,disease_id,disease_name,ds_clinical_precedence,ds_uniprot_variants,ds_eva,ds_gwas_credible_sets,ds_orphanet,ds_uniprot_literature,ds_genomics_england,ds_reactome,ds_europepmc,ds_impc,ds_expression_atlas,ds_crispr_screen,ds_gene_burden
ENSG00000087085,ACHE,acetylcholinesterase (Yt blood group),protein_coding,0.6286789001536538,"{""clinical_precedence"": 0.9958196835543532, ""europepmc"": 0.7661873931901815}",MONDO_0004975,Alzheimer disease,0.9958196835543532,,,,,,,,0.7661873931901815,,,,
ENSG00000273079,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,protein_coding,0.6274063661175356,"{""clinical_precedence"": 0.98731997197959, ""europepmc"": 0.8797421235159577, ""expression_atlas"": 0.03279389384323798}",MONDO_0004975,Alzheimer disease,0.98731997197959,,,,,,,,0.8797421235159577,,0.03279389384323798,,
ENSG00000114200,BCHE,butyrylcholinesterase,protein_coding,0.6272161725827728,"{""clinical_precedence"": 0.9857849108966708, ""europepmc"": 0.9187613306506756}",MONDO_0004975,Alzheimer disease,0.9857849108966708,,,,,,,,0.9187613306506756,,,,
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,protein_coding,0.6151782725819345,"{""clinical_precedence"": 0.9873578650612647, ""europepmc"": 0.48266045640476046, ""expression_atlas"": 0.01937961546337943}",MONDO_0004975,Alzheimer disease,0.9873578650612647,,,,,,,,0.48266045640476046,,0.01937961546337943,,
ENSG00000105464,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,protein_coding,0.6136111345949934,"{""clinical_precedence"": 0.98731997197959, ""europepmc"": 0.44047502064902494}",MONDO_0004975,Alzheimer disease,0.98731997197959,,,,,,,,0.44047502064902494,,,,
ENSG00000198785,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,protein_coding,0.6101241550231941,"{""clinical_precedence"": 0.98731997197959, ""europepmc"": 0.3257586882803209}",MONDO_0004975,Alzheimer disease,0.98731997197959,,,,,,,,0.3257586882803209,,,,
ENSG00000138613,APH1B,aph-1B gamma-secretase subunit,protein_coding,0.6090250464013078,"{""gwas_credible_sets"": 0.8373290004469826, ""clinical_precedence"": 0.6224689064784766, ""europepmc"": 0.39841780962277046}",MONDO_0004975,Alzheimer disease,0.6224689064784766,,,0.8373290004469826,,,,,0.39841780962277046,,,,
ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,protein_coding,0.6083962283415625,"{""clinical_precedence"": 0.98731997197959, ""europepmc"": 0.2536942298530118, ""expression_atlas"": 0.03424116316113702}",MONDO_0004975,Alzheimer disease,0.98731997197959,,,,,,,,0.2536942298530118,,0.03424116316113702,,
ENSG00000176749,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,protein_coding,0.6074662113403846,"{""reactome"": 0.9549947196932794, ""europepmc"": 0.884821423360263}",MONDO_0004975,Alzheimer disease,,,,,,,,0.9549947196932794,0.884821423360263,,,,
ENSG00000010704,HFE,homeostatic iron regulator,protein_coding,0.6048602773233976,"{""eva"": 0.8270002910534164, ""genomics_england"": 0.607930797611621, ""europepmc"": 0.7184806570656189}",MONDO_0004975,Alzheimer disease,,,0.8270002910534164,,,,0.607930797611621,,0.7184806570656189,,,,
ENSG00000101224,CDC25B,cell division cycle 25B,protein_coding,0.5985275901516723,"{""crispr_screen"": 0.8306790377067967, ""reactome"": 0.607930797611621, ""europepmc"": 0.0841815285026092}",MONDO_0004975,Alzheimer disease,,,,,,,,0.607930797611621,0.0841815285026092,,,0.8306790377067967,
ENSG00000203710,CR1,complement C3b/C4b receptor 1 (Knops blood group),protein_coding,0.5926783768207446,"{""gwas_credible_sets"": 0.9306243017610282, ""europepmc"": 0.8857324840320011}",MONDO_0004975,Alzheimer disease,,,,0.9306243017610282,,,,,0.8857324840320011,,,,
ENSG00000274286,ADRA2B,adrenoceptor alpha 2B,protein_coding,0.5914859782379777,"{""clinical_precedence"": 0.8376903849599844, ""crispr_screen"": 0.5284734393254834, ""europepmc"": 0.14133492203148923}",MONDO_0004975,Alzheimer disease,0.8376903849599844,,,,,,,,0.14133492203148923,,,0.5284734393254834,
ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,protein_coding,0.584711381261442,"{""crispr_screen"": 0.8055170751528565, ""clinical_precedence"": 0.5612889958615295, ""europepmc"": 0.7132248051998049, ""expression_atlas"": 0.009364719397570819}",MONDO_0004975,Alzheimer disease,0.5612889958615295,,,,,,,,0.7132248051998049,,0.009364719397570819,0.8055170751528565,
ENSG00000105383,CD33,CD33 molecule,protein_coding,0.5818249181893902,"{""gwas_credible_sets"": 0.7943340798757281, ""crispr_screen"": 0.5688988359014587, ""europepmc"": 0.9224559809881221}",MONDO_0004975,Alzheimer disease,,,,0.7943340798757281,,,,,0.9224559809881221,,,0.5688988359014587,
ENSG00000030582,GRN,granulin precursor,protein_coding,0.5810506372714668,"{""gwas_credible_sets"": 0.8222767294438635, ""eva"": 0.4377101742803672, ""europepmc"": 0.933885136373018, ""impc"": 0.2661521031943677}",MONDO_0004975,Alzheimer disease,,,0.4377101742803672,0.8222767294438635,,,,,0.933885136373018,0.2661521031943677,,,
ENSG00000146904,EPHA1,EPH receptor A1,protein_coding,0.580575990464643,"{""gwas_credible_sets"": 0.8085866173969477, ""crispr_screen"": 0.5531979966234456, ""europepmc"": 0.3652786271595041}",MONDO_0004975,Alzheimer disease,,,,0.8085866173969477,,,,,0.3652786271595041,,,0.5531979966234456,
ENSG00000118689,FOXO3,forkhead box O3,protein_coding,0.5736355541079968,"{""reactome"": 0.9066612367713315, ""europepmc"": 0.7385138361884288}",MONDO_0004975,Alzheimer disease,,,,,,,,0.9066612367713315,0.7385138361884288,,,,
